ID,Membership,Regular Visits,Purchased Package,Uses Discounts,Referred Friends,Takes Survey,Attends Events,Feedback Provided
1,1,1,0,1,0,0,0,0
2,1,0,0,1,0,1,1,0
3,0,0,0,0,0,0,0,1
4,1,0,0,1,0,0,1,0
5,1,1,0,1,0,0,0,1
6,1,1,1,1,1,0,0,1
7,1,1,1,1,1,1,1,1
8,1,1,1,1,1,0,0,0
9,0,0,1,1,0,1,1,1
10,1,0,0,1,1,1,0,1
11,1,0,1,0,0,0,1,1
12,1,1,1,1,0,0,0,1
13,1,0,1,1,1,1,1,1
14,1,0,1,0,1,0,0,0
15,1,0,1,1,0,0,0,0
16,1,0,1,1,1,0,1,0
17,0,1,1,0,1,1,1,1
18,1,1,0,1,0,1,1,0
19,0,0,0,1,0,1,0,1
20,0,1,0,1,1,0,0,1
21,1,0,0,1,0,0,1,0
22,1,1,1,1,1,0,1,0
23,0,1,1,0,1,0,1,1
24,0,0,0,1,0,1,1,1
25,0,0,0,0,0,1,0,0
26,1,0,0,1,1,0,1,0
27,1,0,1,1,0,1,0,0
28,0,1,1,0,1,1,0,1
29,1,0,0,1,0,1,1,1
30,1,1,1,1,0,1,1,1
31,0,0,0,0,1,0,1,0
32,1,1,1,1,0,0,1,1
33,0,0,1,1,1,0,0,1
34,0,1,1,0,0,1,1,1
35,0,1,0,0,1,1,1,0
36,1,0,1,0,1,0,0,0
37,0,0,1,1,0,0,1,1
38,1,1,1,0,1,1,0,0
39,0,0,1,1,0,0,0,1
40,1,0,0,1,1,0,0,0
41,0,1,0,0,1,0,0,0
42,0,0,0,0,1,0,0,0
43,1,0,1,1,0,0,0,0
44,1,0,0,1,0,0,0,0
45,1,0,0,0,1,1,0,1
46,1,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0,0
48,1,1,0,1,1,1,1,0
49,1,1,0,0,1,0,0,1
50,1,0,1,0,1,0,0,0
51,0,0,1,1,0,1,1,1
52,0,1,0,1,1,0,0,1
53,0,0,0,0,1,0,0,0
54,0,0,0,1,0,1,0,1
55,1,1,1,1,1,1,1,1
56,0,0,1,1,0,0,1,0
57,0,0,1,0,1,1,1,1
58,1,1,1,0,0,0,1,1
59,0,0,0,0,1,1,0,0
60,1,0,1,0,1,1,0,1
61,1,0,1,0,1,1,0,0
62,1,0,0,0,0,1,1,0
63,1,0,0,1,0,1,1,1
64,0,1,0,1,1,1,0,0
65,0,0,1,1,1,0,1,0
66,0,1,0,0,0,0,0,1
67,1,1,0,0,1,0,1,0
68,0,0,1,1,1,1,0,1
69,1,0,0,0,1,0,0,1
70,1,1,0,0,0,1,0,0
71,1,1,0,0,0,0,0,0
72,0,0,0,0,1,0,0,1
73,0,1,0,0,0,1,0,1
74,0,1,1,1,1,1,1,0
75,1,1,1,0,0,1,0,0
76,1,1,0,0,1,0,1,1
77,0,1,0,0,1,0,1,0
78,1,1,0,0,0,0,0,1
79,0,0,0,0,1,0,1,0
80,0,1,0,1,1,1,1,1
81,0,0,1,0,0,0,1,1
82,1,0,0,1,0,0,1,0
83,0,1,1,1,1,0,1,0
84,1,0,0,1,0,0,1,0
85,1,0,0,1,0,0,0,0
86,0,0,0,0,0,1,1,0
87,0,1,1,1,1,1,1,0
88,0,1,0,0,0,0,1,0
89,0,1,1,1,1,0,1,1
90,1,1,0,1,0,1,1,1
91,1,0,0,0,1,0,1,1
92,0,1,1,1,1,0,0,1
93,1,1,1,0,0,1,0,0
94,1,0,0,0,1,0,1,1
95,1,1,0,0,1,0,0,0
96,1,1,0,1,0,0,0,1
97,1,1,1,0,0,0,1,0
98,0,0,1,0,1,0,1,1
99,1,1,0,0,0,0,0,0
100,0,0,1,1,0,1,1,0
101,0,0,0,1,1,0,1,1
102,0,0,0,1,1,0,0,1
103,0,0,0,0,1,0,0,0
104,1,0,1,1,0,1,1,0
105,1,1,1,1,1,0,0,1
106,0,0,1,0,0,1,1,0
107,0,0,1,0,1,0,1,1
108,1,0,0,1,1,1,1,0
109,0,1,1,0,1,0,1,1
110,0,0,0,1,1,0,1,1
111,1,0,1,0,0,0,1,0
112,0,1,1,1,0,0,0,1
113,1,0,1,0,0,1,0,0
114,0,0,0,1,0,1,0,0
115,1,1,1,1,0,0,0,0
116,1,0,1,0,1,0,1,1
117,0,1,0,0,1,1,0,0
118,1,0,0,0,0,1,0,1
119,1,0,0,0,0,1,0,1
120,0,0,0,1,1,1,1,1
121,1,1,0,1,0,1,1,0
122,1,1,0,1,0,1,0,0
123,0,1,1,0,1,1,1,1
124,0,1,0,1,0,1,1,1
125,1,0,1,1,0,1,1,1
126,1,1,0,1,0,0,0,1
127,0,1,1,1,0,0,0,1
128,0,1,1,1,0,0,0,0
129,1,0,1,0,0,1,0,0
130,1,0,0,0,1,1,1,1
131,1,0,0,0,0,1,1,0
132,1,0,0,0,0,1,1,0
133,1,0,0,1,0,0,1,0
134,0,1,1,0,0,0,0,0
135,1,1,0,0,1,0,0,1
136,1,0,0,0,0,1,0,1
137,1,0,0,1,1,0,1,0
138,0,1,1,1,0,0,1,1
139,1,0,0,1,1,0,1,0
140,0,0,0,1,0,1,1,1
141,0,1,0,1,0,1,0,1
142,1,0,0,1,1,1,0,1
143,1,0,0,0,1,1,1,1
144,0,0,0,0,0,1,1,0
145,0,0,0,0,0,0,0,1
146,0,1,1,0,0,1,1,0
147,0,0,1,0,0,1,1,0
148,0,1,0,0,0,0,0,1
149,1,0,1,0,1,0,1,0
150,1,0,0,1,0,1,1,0
151,1,0,1,1,0,0,1,0
152,1,1,0,0,0,1,0,0
153,0,0,0,0,1,1,1,1
154,1,0,0,1,0,0,0,1
155,1,0,0,0,0,1,1,0
156,1,1,1,0,0,0,1,0
157,1,0,0,0,1,0,0,0
158,1,1,1,1,1,0,0,0
159,1,1,1,1,0,0,0,0
160,1,0,0,0,0,1,1,0
161,1,1,1,1,1,0,1,1
162,1,1,0,1,1,0,0,1
163,0,0,1,1,1,1,1,0
164,1,1,0,0,0,1,1,0
165,1,0,1,1,1,0,0,1
166,0,1,1,1,1,1,1,0
167,0,1,0,0,1,0,1,1
168,1,0,1,0,1,0,0,0
169,1,0,1,0,0,1,0,1
170,0,0,0,1,0,1,0,0
171,1,1,0,1,0,0,1,0
172,0,0,0,0,1,0,0,0
173,0,0,0,0,1,1,0,0
174,1,0,1,1,0,1,0,0
175,1,0,0,1,0,0,1,1
176,1,0,0,0,0,0,0,0
177,0,0,0,1,0,0,0,0
178,0,0,0,0,1,1,0,1
179,0,1,1,1,1,0,1,1
180,0,0,1,0,0,1,0,1
181,0,1,1,1,0,1,1,0
182,1,1,0,0,0,1,0,1
183,1,0,1,1,0,0,1,1
184,1,1,1,0,1,0,1,1
185,0,1,0,1,1,1,1,0
186,0,1,1,0,1,1,0,0
187,1,1,1,0,1,0,1,1
188,1,1,0,0,0,0,0,0
189,1,1,1,0,0,1,1,1
190,1,1,0,0,1,0,0,1
191,0,1,1,1,0,0,0,0
192,1,1,1,0,0,0,0,1
193,0,1,0,1,0,0,1,0
194,1,0,1,0,1,1,1,1
195,0,1,0,1,0,0,1,0
196,0,1,0,0,0,0,0,0
197,1,0,0,0,1,1,0,1
198,1,0,0,1,1,1,0,0
199,0,0,1,0,1,1,0,1
200,1,1,1,1,1,0,1,1
201,1,1,0,1,0,0,1,0
202,1,1,1,0,1,1,1,0
203,1,0,1,0,0,0,1,1
204,1,1,1,1,1,0,0,0
205,1,1,1,0,0,1,0,1
206,0,0,0,0,0,0,0,1
207,0,0,1,0,1,0,1,1
208,0,0,0,1,0,1,1,1
209,1,1,1,0,0,1,1,0
210,0,1,1,1,1,1,0,1
211,1,1,0,1,1,0,1,1
212,1,1,0,1,0,1,0,1
213,0,0,0,1,1,0,0,0
214,1,1,0,0,1,0,1,1
215,0,1,1,0,1,0,0,1
216,0,0,0,1,1,0,0,0
217,0,0,0,1,1,1,0,1
218,0,0,1,1,0,1,1,0
219,0,1,1,1,1,1,1,1
220,0,0,0,0,0,0,1,0
221,1,1,0,1,0,0,0,1
222,1,0,0,1,0,1,1,1
223,0,0,0,1,1,1,1,0
224,1,1,0,1,1,1,0,1
225,1,0,0,1,1,1,0,1
226,1,0,0,0,0,1,0,1
227,0,0,1,0,0,1,0,0
228,1,1,0,0,0,0,1,0
229,1,0,0,0,0,0,1,0
230,0,1,1,0,0,1,1,1
231,1,0,1,1,1,1,0,0
232,1,0,0,0,1,0,0,1
233,1,0,0,1,0,1,0,1
234,1,0,0,0,1,0,0,1
235,1,0,0,0,0,1,0,1
236,1,0,1,0,0,0,1,1
237,1,1,0,0,0,1,0,0
238,0,1,0,1,1,0,0,0
239,1,0,1,0,1,0,1,1
240,1,0,1,1,1,1,0,1
241,1,1,0,0,0,0,1,0
242,1,0,0,0,1,0,0,0
243,0,0,1,0,1,1,1,1
244,0,0,0,1,1,0,1,1
245,0,1,1,1,0,0,0,1
246,1,0,1,0,1,1,1,1
247,0,0,0,0,1,1,0,1
248,1,1,1,1,0,1,0,0
249,0,0,1,1,1,1,0,0
250,0,1,1,0,0,0,0,0
251,1,0,0,0,0,0,0,0
252,0,0,0,1,1,1,0,1
253,0,0,1,0,0,1,0,1
254,0,0,0,1,1,1,1,0
255,1,0,1,0,0,0,0,1
256,1,1,1,0,1,1,0,1
257,0,1,0,1,0,0,1,0
258,1,1,0,1,1,0,0,1
259,1,1,0,0,1,1,0,0
260,1,0,1,1,1,1,1,1
261,0,0,1,0,1,0,0,1
262,1,1,1,1,0,0,0,0
263,0,0,0,1,1,0,0,0
264,1,0,0,1,1,0,0,1
265,1,0,1,1,1,0,1,1
266,0,1,0,0,1,0,0,0
267,0,1,0,0,0,1,0,0
268,1,0,0,1,1,1,0,1
269,0,1,0,0,0,0,0,1
270,0,0,1,0,1,1,0,0
271,1,1,0,0,0,1,1,1
272,0,0,1,0,0,0,1,1
273,1,0,1,0,0,1,1,0
274,1,0,1,0,0,1,1,0
275,0,0,0,1,1,1,0,1
276,1,0,0,0,0,1,1,0
277,1,0,1,1,0,0,0,0
278,1,0,0,0,0,0,0,0
279,0,0,1,1,1,0,1,1
280,0,0,0,0,1,0,0,0
281,1,0,1,0,1,1,0,1
282,0,0,0,0,0,1,1,1
283,1,1,0,1,0,0,0,1
284,0,1,0,0,0,0,1,1
285,0,1,0,1,0,1,0,0
286,0,0,0,1,1,0,1,1
287,1,1,1,0,0,1,0,1
288,1,1,1,0,1,1,0,1
289,0,1,0,0,0,1,1,0
290,0,1,1,1,0,0,0,0
291,1,0,0,1,0,1,0,0
292,1,0,1,0,0,1,0,0
293,0,0,1,0,1,1,0,0
294,1,1,0,0,0,1,1,1
295,0,1,0,1,1,1,0,1
296,1,0,0,1,0,1,1,0
297,0,1,1,0,1,0,1,1
298,0,0,1,0,0,1,1,0
299,1,1,1,1,1,1,0,1
300,1,0,1,0,0,1,1,1
301,1,1,0,0,0,0,1,1
302,1,1,0,1,1,0,0,0
303,1,0,1,1,1,1,0,0
304,0,1,1,0,1,1,0,1
305,1,1,1,0,1,1,1,0
306,0,0,1,1,0,1,1,0
307,1,1,0,1,0,0,1,1
308,1,0,0,1,0,1,0,1
309,0,1,0,1,1,0,1,1
310,0,1,0,1,1,0,1,1
311,1,0,1,0,0,1,0,0
312,0,0,0,1,0,0,0,1
313,1,0,1,1,1,1,0,0
314,1,0,0,0,1,1,0,1
315,1,0,0,1,0,0,1,0
316,0,1,0,0,0,0,0,1
317,0,1,1,1,0,0,1,1
318,1,0,0,1,0,1,0,1
319,1,0,1,1,0,1,1,1
320,1,1,0,1,1,0,0,1
321,1,1,0,0,1,0,0,1
322,0,0,1,1,0,1,1,0
323,1,0,0,0,0,0,1,0
324,1,1,1,0,1,0,1,0
325,0,1,0,1,1,0,0,1
326,0,1,0,0,0,0,0,0
327,1,1,1,0,1,0,0,1
328,0,0,0,0,1,1,0,0
329,1,1,0,1,0,0,1,1
330,1,1,1,1,0,0,0,1
331,0,1,1,0,0,1,0,0
332,1,0,0,0,0,0,0,0
333,0,1,1,1,1,1,1,0
334,1,0,1,0,1,1,0,1
